model,confidence_threshold,neighbor_offset,frame_id,quality_group,gt_index,class_id,class_name,raw_detected,raw_confidence,gaussian_detected,gaussian_confidence,bilateral_detected,bilateral_confidence,wiener_denoise_detected,wiener_denoise_confidence,wiener_deconv_detected,wiener_deconv_confidence,clahe_detected,clahe_confidence,temporal_fixed_detected,temporal_fixed_confidence,temporal_quality_weighted_detected,temporal_quality_weighted_confidence,any_method_detected,num_methods_detecting,detected_by,unique_rescuer
yolov8n.pt,0.15,1,video3/v03_20-20_f00000_t00.00_clear,clear,0,0,person,True,0.8202,True,0.7945,True,0.711,True,0.7697,False,,True,0.7402,True,0.7586,True,0.7313,True,7,raw|gaussian|bilateral|wiener_denoise|clahe|temporal_fixed|temporal_quality_weighted,
yolov8n.pt,0.15,1,video3/v03_20-20_f00000_t00.00_clear,clear,1,56,chair,False,,False,,False,,False,,False,,False,,False,,False,,False,0,,
yolov8n.pt,0.15,1,video3/v03_20-20_f00000_t00.00_clear,clear,2,39,bottle,False,,False,,False,,False,,False,,False,,False,,False,,False,0,,
yolov8n.pt,0.15,1,video3/v03_20-20_f00000_t00.00_clear,clear,3,0,person,True,0.1593,False,,False,,False,,False,,False,,False,,False,,True,1,raw,raw
yolov8n.pt,0.15,1,video3/v03_20-20_f00000_t00.00_clear,clear,4,0,person,False,,False,,False,,False,,False,,False,,False,,False,,False,0,,
yolov8n.pt,0.15,1,video3/v03_20-20_f00000_t00.00_clear,clear,5,0,person,False,,False,,False,,False,,False,,False,,False,,False,,False,0,,
yolov8n.pt,0.15,1,video3/v03_20-20_f00000_t00.00_clear,clear,6,24,backpack,False,,False,,False,,False,,False,,False,,False,,False,,False,0,,
yolov8n.pt,0.15,1,video3/v03_20-20_f00000_t00.00_clear,clear,7,0,person,False,,False,,False,,False,,False,,False,,False,,False,,False,0,,
yolov8n.pt,0.15,1,video3/v03_20-20_f00000_t00.00_clear,clear,8,0,person,False,,False,,False,,False,,False,,False,,False,,False,,False,0,,
yolov8n.pt,0.15,1,video3/v03_20-20_f00016_t00.53_clear,clear,0,56,chair,False,,False,,False,,False,,False,,False,,False,,False,,False,0,,
yolov8n.pt,0.15,1,video3/v03_20-20_f00016_t00.53_clear,clear,1,56,chair,False,,False,,False,,False,,False,,False,,False,,False,,False,0,,
yolov8n.pt,0.15,1,video3/v03_20-20_f00016_t00.53_clear,clear,2,56,chair,False,,True,0.1941,True,0.1548,False,,False,,False,,False,,False,,True,2,gaussian|bilateral,
yolov8n.pt,0.15,1,video3/v03_20-20_f00016_t00.53_clear,clear,3,56,chair,False,,False,,False,,False,,False,,False,,False,,False,,False,0,,
yolov8n.pt,0.15,1,video3/v03_20-20_f00016_t00.53_clear,clear,4,56,chair,False,,False,,False,,False,,False,,False,,False,,False,,False,0,,
yolov8n.pt,0.15,1,video3/v03_20-20_f00016_t00.53_clear,clear,5,56,chair,False,,False,,False,,False,,False,,False,,False,,False,,False,0,,
yolov8n.pt,0.15,1,video3/v03_20-20_f00016_t00.53_clear,clear,6,39,bottle,False,,False,,False,,False,,False,,False,,False,,False,,False,0,,
yolov8n.pt,0.15,1,video3/v03_20-20_f00048_t01.60_moderate_blur,moderate_blur,0,24,backpack,False,,False,,False,,False,,False,,False,,False,,False,,False,0,,
yolov8n.pt,0.15,1,video3/v03_20-20_f00048_t01.60_moderate_blur,moderate_blur,1,39,bottle,False,,False,,False,,False,,False,,False,,False,,False,,False,0,,
yolov8n.pt,0.15,1,video3/v03_20-20_f00048_t01.60_moderate_blur,moderate_blur,2,0,person,False,,False,,False,,False,,False,,False,,False,,False,,False,0,,
yolov8n.pt,0.15,1,video3/v03_20-20_f00048_t01.60_moderate_blur,moderate_blur,3,0,person,False,,False,,False,,False,,False,,False,,False,,False,,False,0,,
