model,confidence_threshold,frame_id,video,quality_group,method,class_id,n_gt,raw_detected,raw_tp_count,raw_confidence,method_detected,method_tp_count,method_confidence,outcome
yolov8n.pt,0.15,video3/v03_20-20_f00048_t01.60_moderate_blur,video3,moderate_blur,temporal_quality_weighted,39,1,False,0,,False,0,,still_missed
yolov8n.pt,0.15,video3/v03_20-20_f00064_t02.13_clear,video3,clear,temporal_fixed,24,1,False,0,,False,0,,still_missed
yolov8n.pt,0.15,video3/v03_20-20_f00064_t02.13_clear,video3,clear,temporal_fixed,0,2,False,0,,False,0,,still_missed
yolov8n.pt,0.15,video3/v03_20-20_f00064_t02.13_clear,video3,clear,temporal_fixed,56,3,False,0,,False,0,,still_missed
yolov8n.pt,0.15,video3/v03_20-20_f00064_t02.13_clear,video3,clear,temporal_fixed,60,1,False,0,,False,0,,still_missed
yolov8n.pt,0.15,video3/v03_20-20_f00064_t02.13_clear,video3,clear,temporal_quality_weighted,24,1,False,0,,False,0,,still_missed
yolov8n.pt,0.15,video3/v03_20-20_f00064_t02.13_clear,video3,clear,temporal_quality_weighted,0,2,False,0,,False,0,,still_missed
yolov8n.pt,0.15,video3/v03_20-20_f00064_t02.13_clear,video3,clear,temporal_quality_weighted,56,3,False,0,,False,0,,still_missed
yolov8n.pt,0.15,video3/v03_20-20_f00064_t02.13_clear,video3,clear,temporal_quality_weighted,60,1,False,0,,False,0,,still_missed
yolov8n.pt,0.15,video3/v03_20-20_f00080_t02.67_moderate_blur,video3,moderate_blur,temporal_fixed,24,1,False,0,,False,0,,still_missed
yolov8n.pt,0.15,video3/v03_20-20_f00080_t02.67_moderate_blur,video3,moderate_blur,temporal_fixed,0,2,False,0,,False,0,,still_missed
yolov8n.pt,0.15,video3/v03_20-20_f00080_t02.67_moderate_blur,video3,moderate_blur,temporal_fixed,56,2,False,0,,False,0,,still_missed
yolov8n.pt,0.15,video3/v03_20-20_f00080_t02.67_moderate_blur,video3,moderate_blur,temporal_fixed,60,1,False,0,,False,0,,still_missed
yolov8n.pt,0.15,video3/v03_20-20_f00080_t02.67_moderate_blur,video3,moderate_blur,temporal_quality_weighted,24,1,False,0,,False,0,,still_missed
yolov8n.pt,0.15,video3/v03_20-20_f00080_t02.67_moderate_blur,video3,moderate_blur,temporal_quality_weighted,0,2,False,0,,False,0,,still_missed
yolov8n.pt,0.15,video3/v03_20-20_f00080_t02.67_moderate_blur,video3,moderate_blur,temporal_quality_weighted,56,2,False,0,,False,0,,still_missed
yolov8n.pt,0.15,video3/v03_20-20_f00080_t02.67_moderate_blur,video3,moderate_blur,temporal_quality_weighted,60,1,False,0,,False,0,,still_missed
yolov8n.pt,0.15,video3/v03_20-20_f00097_t03.23_clear,video3,clear,temporal_fixed,0,3,True,2,0.6757,True,1,0.5014,lost
yolov8n.pt,0.15,video3/v03_20-20_f00097_t03.23_clear,video3,clear,temporal_fixed,24,1,False,0,,False,0,,still_missed
yolov8n.pt,0.15,video3/v03_20-20_f00097_t03.23_clear,video3,clear,temporal_fixed,56,1,False,0,,False,0,,still_missed
yolov8n.pt,0.15,video3/v03_20-20_f00097_t03.23_clear,video3,clear,temporal_fixed,39,1,False,0,,False,0,,still_missed
yolov8n.pt,0.15,video3/v03_20-20_f00097_t03.23_clear,video3,clear,temporal_quality_weighted,0,3,True,2,0.6757,True,1,0.4119,lost
yolov8n.pt,0.15,video3/v03_20-20_f00097_t03.23_clear,video3,clear,temporal_quality_weighted,24,1,False,0,,False,0,,still_missed
yolov8n.pt,0.15,video3/v03_20-20_f00097_t03.23_clear,video3,clear,temporal_quality_weighted,56,1,False,0,,False,0,,still_missed
