video,frame,filter,n_detections,mean_confidence,preprocess_ms,yolo_ms,total_ms,annotated
video3,v03_20-20_f00080_t02.67_moderate_blur.png,wiener_deconv,0,0.0,71.605,28.964,100.569,True
video3,v03_20-20_f00080_t02.67_moderate_blur.png,clahe,0,0.0,3.325,19.084,22.409,True
video3,v03_20-20_f00097_t03.23_clear.png,raw,5,0.5296,0.0,50.117,50.118,True
video3,v03_20-20_f00097_t03.23_clear.png,gaussian,4,0.5113,0.565,28.473,29.037,True
video3,v03_20-20_f00097_t03.23_clear.png,bilateral,4,0.4106,13.963,30.446,44.409,True
video3,v03_20-20_f00097_t03.23_clear.png,wiener_denoise,4,0.4455,50.672,32.76,83.431,True
video3,v03_20-20_f00097_t03.23_clear.png,wiener_deconv,1,0.2126,70.17,31.171,101.341,True
video3,v03_20-20_f00097_t03.23_clear.png,clahe,7,0.4867,4.642,29.36,34.002,True
video3,v03_20-20_f00113_t03.77_severe_blur.png,raw,0,0.0,0.001,21.052,21.054,True
video3,v03_20-20_f00113_t03.77_severe_blur.png,gaussian,0,0.0,0.976,15.916,16.892,True
video3,v03_20-20_f00113_t03.77_severe_blur.png,bilateral,0,0.0,12.348,20.374,32.722,True
video3,v03_20-20_f00113_t03.77_severe_blur.png,wiener_denoise,0,0.0,50.273,23.407,73.68,True
video3,v03_20-20_f00113_t03.77_severe_blur.png,wiener_deconv,0,0.0,66.097,25.12,91.217,True
video3,v03_20-20_f00113_t03.77_severe_blur.png,clahe,0,0.0,3.458,14.917,18.376,True
video3,v03_20-20_f00145_t04.83_moderate_blur.png,raw,0,0.0,0.004,16.313,16.316,True
video3,v03_20-20_f00145_t04.83_moderate_blur.png,gaussian,0,0.0,0.889,14.418,15.308,True
video3,v03_20-20_f00145_t04.83_moderate_blur.png,bilateral,0,0.0,10.232,15.368,25.6,True
video3,v03_20-20_f00145_t04.83_moderate_blur.png,wiener_denoise,0,0.0,49.3,23.576,72.876,True
video3,v03_20-20_f00145_t04.83_moderate_blur.png,wiener_deconv,0,0.0,64.108,28.215,92.324,True
video3,v03_20-20_f00145_t04.83_moderate_blur.png,clahe,0,0.0,3.772,17.962,21.734,True
video3,v03_20-20_f00161_t05.37_moderate_blur.png,raw,2,0.3328,0.0,33.175,33.175,True
video3,v03_20-20_f00161_t05.37_moderate_blur.png,gaussian,1,0.1875,0.655,16.938,17.593,True
video3,v03_20-20_f00161_t05.37_moderate_blur.png,bilateral,0,0.0,10.695,15.867,26.562,True
video3,v03_20-20_f00161_t05.37_moderate_blur.png,wiener_denoise,1,0.178,42.042,19.101,61.143,True
video3,v03_20-20_f00161_t05.37_moderate_blur.png,wiener_deconv,0,0.0,60.568,23.895,84.464,True
video3,v03_20-20_f00161_t05.37_moderate_blur.png,clahe,2,0.3797,3.216,16.621,19.837,True
video3,v03_20-20_f00177_t05.90_moderate_blur.png,raw,1,0.3102,0.0,27.313,27.314,True
video3,v03_20-20_f00177_t05.90_moderate_blur.png,gaussian,0,0.0,0.54,15.055,15.594,True
video3,v03_20-20_f00177_t05.90_moderate_blur.png,bilateral,1,0.1625,9.96,16.045,26.005,True
video3,v03_20-20_f00177_t05.90_moderate_blur.png,wiener_denoise,1,0.2602,46.931,25.383,72.314,True
video3,v03_20-20_f00177_t05.90_moderate_blur.png,wiener_deconv,0,0.0,65.322,24.056,89.378,True
video3,v03_20-20_f00177_t05.90_moderate_blur.png,clahe,0,0.0,3.118,15.246,18.365,True
video3,v03_20-20_f00210_t07.00_severe_blur.png,raw,0,0.0,0.0,22.784,22.784,True
video3,v03_20-20_f00210_t07.00_severe_blur.png,gaussian,0,0.0,0.639,16.786,17.426,True
video3,v03_20-20_f00210_t07.00_severe_blur.png,bilateral,0,0.0,9.525,18.527,28.052,True
video3,v03_20-20_f00210_t07.00_severe_blur.png,wiener_denoise,0,0.0,60.804,33.893,94.698,True
video3,v03_20-20_f00210_t07.00_severe_blur.png,wiener_deconv,0,0.0,78.811,26.923,105.734,True
video3,v03_20-20_f00210_t07.00_severe_blur.png,clahe,0,0.0,5.067,19.066,24.133,True
video3,v03_20-20_f00242_t08.07_severe_blur.png,raw,1,0.1515,0.0,25.406,25.406,True
video3,v03_20-20_f00242_t08.07_severe_blur.png,gaussian,0,0.0,0.904,18.794,19.699,True
video3,v03_20-20_f00242_t08.07_severe_blur.png,bilateral,0,0.0,10.309,16.483,26.792,True
video3,v03_20-20_f00242_t08.07_severe_blur.png,wiener_denoise,0,0.0,48.767,27.547,76.314,True
video3,v03_20-20_f00242_t08.07_severe_blur.png,wiener_deconv,0,0.0,68.562,23.14,91.702,True
video3,v03_20-20_f00242_t08.07_severe_blur.png,clahe,1,0.2434,3.619,15.704,19.323,True
video4,v04_20-21_f00000_t00.00_clear.png,raw,9,0.4685,0.0,40.312,40.312,True
video4,v04_20-21_f00000_t00.00_clear.png,gaussian,6,0.5836,0.698,29.676,30.374,True
video4,v04_20-21_f00000_t00.00_clear.png,bilateral,7,0.4399,9.669,17.579,27.248,True
video4,v04_20-21_f00000_t00.00_clear.png,wiener_denoise,7,0.5355,45.117,37.944,83.06,True
video4,v04_20-21_f00000_t00.00_clear.png,wiener_deconv,0,0.0,62.48,27.547,90.026,True
video4,v04_20-21_f00000_t00.00_clear.png,clahe,7,0.4528,3.611,17.97,21.581,True
video4,v04_20-21_f00038_t01.27_clear.png,raw,5,0.3952,0.0,41.745,41.746,True
video4,v04_20-21_f00038_t01.27_clear.png,gaussian,4,0.4078,0.65,20.265,20.915,True
video4,v04_20-21_f00038_t01.27_clear.png,bilateral,3,0.5109,10.781,25.842,36.623,True
video4,v04_20-21_f00038_t01.27_clear.png,wiener_denoise,5,0.3923,48.952,28.015,76.967,True
video4,v04_20-21_f00038_t01.27_clear.png,wiener_deconv,0,0.0,65.331,27.649,92.98,True
video4,v04_20-21_f00038_t01.27_clear.png,clahe,7,0.3557,3.636,24.652,28.289,True
video4,v04_20-21_f00076_t02.53_clear.png,raw,6,0.4686,0.005,48.542,48.547,True
video4,v04_20-21_f00076_t02.53_clear.png,gaussian,8,0.3758,0.894,16.307,17.201,True
video4,v04_20-21_f00076_t02.53_clear.png,bilateral,5,0.4636,11.571,26.259,37.83,True
video4,v04_20-21_f00076_t02.53_clear.png,wiener_denoise,8,0.3751,54.744,27.944,82.688,True
video4,v04_20-21_f00076_t02.53_clear.png,wiener_deconv,0,0.0,77.097,27.963,105.061,True
video4,v04_20-21_f00076_t02.53_clear.png,clahe,5,0.6021,3.187,22.18,25.367,True
video4,v04_20-21_f00114_t03.80_moderate_blur.png,raw,6,0.5031,0.0,25.628,25.628,True
video4,v04_20-21_f00114_t03.80_moderate_blur.png,gaussian,6,0.3774,0.594,18.408,19.002,True
video4,v04_20-21_f00114_t03.80_moderate_blur.png,bilateral,6,0.4257,9.824,29.521,39.345,True
video4,v04_20-21_f00114_t03.80_moderate_blur.png,wiener_denoise,6,0.4509,71.653,38.633,110.287,True
video4,v04_20-21_f00114_t03.80_moderate_blur.png,wiener_deconv,0,0.0,76.534,31.825,108.359,True
video4,v04_20-21_f00114_t03.80_moderate_blur.png,clahe,5,0.547,2.757,20.414,23.17,True
video4,v04_20-21_f00152_t05.07_moderate_blur.png,raw,1,0.6789,0.0,30.194,30.195,True
video4,v04_20-21_f00152_t05.07_moderate_blur.png,gaussian,1,0.4938,0.627,18.341,18.968,True
video4,v04_20-21_f00152_t05.07_moderate_blur.png,bilateral,1,0.2477,10.17,19.264,29.434,True
video4,v04_20-21_f00152_t05.07_moderate_blur.png,wiener_denoise,1,0.4326,53.977,32.61,86.587,True
video4,v04_20-21_f00152_t05.07_moderate_blur.png,wiener_deconv,0,0.0,71.392,24.373,95.765,True
video4,v04_20-21_f00152_t05.07_moderate_blur.png,clahe,1,0.7023,3.011,19.55,22.56,True
video4,v04_20-21_f00190_t06.33_moderate_blur.png,raw,0,0.0,0.007,18.469,18.477,True
video4,v04_20-21_f00190_t06.33_moderate_blur.png,gaussian,1,0.1891,0.68,17.045,17.724,True
video4,v04_20-21_f00190_t06.33_moderate_blur.png,bilateral,0,0.0,10.274,17.377,27.65,True
video4,v04_20-21_f00190_t06.33_moderate_blur.png,wiener_denoise,1,0.1761,44.592,28.146,72.738,True
video4,v04_20-21_f00190_t06.33_moderate_blur.png,wiener_deconv,0,0.0,69.541,27.019,96.56,True
video4,v04_20-21_f00190_t06.33_moderate_blur.png,clahe,1,0.3417,4.657,16.988,21.645,True
video4,v04_20-21_f00228_t07.60_severe_blur.png,raw,0,0.0,0.001,18.505,18.506,True
video4,v04_20-21_f00228_t07.60_severe_blur.png,gaussian,0,0.0,0.603,14.733,15.336,True
video4,v04_20-21_f00228_t07.60_severe_blur.png,bilateral,0,0.0,11.284,14.614,25.898,True
video4,v04_20-21_f00228_t07.60_severe_blur.png,wiener_denoise,0,0.0,56.284,16.909,73.193,True
video4,v04_20-21_f00228_t07.60_severe_blur.png,wiener_deconv,0,0.0,66.11,28.764,94.874,True
video4,v04_20-21_f00228_t07.60_severe_blur.png,clahe,1,0.1942,4.0,19.4,23.4,True
video4,v04_20-21_f00266_t08.87_clear.png,raw,4,0.4611,0.0,19.734,19.735,True
video4,v04_20-21_f00266_t08.87_clear.png,gaussian,4,0.4831,0.609,29.647,30.256,True
video4,v04_20-21_f00266_t08.87_clear.png,bilateral,4,0.4225,9.106,20.001,29.107,True
video4,v04_20-21_f00266_t08.87_clear.png,wiener_denoise,4,0.4526,41.982,20.211,62.193,True
video4,v04_20-21_f00266_t08.87_clear.png,wiener_deconv,1,0.1591,59.497,26.593,86.089,True
video4,v04_20-21_f00266_t08.87_clear.png,clahe,4,0.4092,3.337,16.086,19.423,True
